report_week,reference_week,ach_region,sex,counts
2023-04-03,2023-04-03,Better Health Together,Female,13
2023-04-03,2023-04-03,Better Health Together,Male,11
2023-04-03,2023-04-03,Cascade Pacific Action Alliance,Female,11
2023-04-03,2023-04-03,Cascade Pacific Action Alliance,Male,16
2023-04-03,2023-04-03,Elevate Health,Female,13
2023-04-03,2023-04-03,Elevate Health,Male,16
2023-04-03,2023-04-03,Greater Columbia ACH,Female,8
2023-04-03,2023-04-03,Greater Columbia ACH,Male,9
2023-04-03,2023-04-03,HealthierHere,Female,20
2023-04-03,2023-04-03,HealthierHere,Male,31
2023-04-03,2023-04-03,North Central ACH,Female,8
2023-04-03,2023-04-03,North Central ACH,Male,5
2023-04-03,2023-04-03,North Sound ACH,Female,10
2023-04-03,2023-04-03,North Sound ACH,Male,18
2023-04-03,2023-04-03,Olympic Community of Health,Female,3
2023-04-03,2023-04-03,Olympic Community of Health,Male,4
2023-04-03,2023-04-03,SWACH,Female,3
2023-04-03,2023-04-03,SWACH,Male,7
2023-04-10,2023-04-03,Better Health Together,Female,35
2023-04-10,2023-04-03,Better Health Together,Male,30
2023-04-10,2023-04-03,Cascade Pacific Action Alliance,Female,36
2023-04-10,2023-04-03,Cascade Pacific Action Alliance,Male,41
2023-04-10,2023-04-03,Elevate Health,Female,52
2023-04-10,2023-04-03,Elevate Health,Male,43
2023-04-10,2023-04-03,Greater Columbia ACH,Female,43
2023-04-10,2023-04-03,Greater Columbia ACH,Male,27
2023-04-10,2023-04-03,HealthierHere,Female,107
2023-04-10,2023-04-03,HealthierHere,Male,98
2023-04-10,2023-04-03,North Central ACH,Female,16
2023-04-10,2023-04-03,North Central ACH,Male,13
2023-04-10,2023-04-03,North Sound ACH,Female,53
2023-04-10,2023-04-03,North Sound ACH,Male,56
2023-04-10,2023-04-03,Olympic Community of Health,Female,17
2023-04-10,2023-04-03,Olympic Community of Health,Male,17
2023-04-10,2023-04-03,SWACH,Female,20
2023-04-10,2023-04-03,SWACH,Male,27
2023-04-10,2023-04-10,Better Health Together,Female,6
2023-04-10,2023-04-10,Better Health Together,Male,9
2023-04-10,2023-04-10,Cascade Pacific Action Alliance,Female,16
2023-04-10,2023-04-10,Cascade Pacific Action Alliance,Male,6
2023-04-10,2023-04-10,Elevate Health,Female,18
2023-04-10,2023-04-10,Elevate Health,Male,20
2023-04-10,2023-04-10,Greater Columbia ACH,Female,3
2023-04-10,2023-04-10,Greater Columbia ACH,Male,13
2023-04-10,2023-04-10,HealthierHere,Female,35
2023-04-10,2023-04-10,HealthierHere,Male,31
2023-04-10,2023-04-10,North Central ACH,Female,7
2023-04-10,2023-04-10,North Central ACH,Male,2
2023-04-10,2023-04-10,North Sound ACH,Female,19
2023-04-10,2023-04-10,North Sound ACH,Male,21
2023-04-10,2023-04-10,Olympic Community of Health,Female,3
2023-04-10,2023-04-10,Olympic Community of Health,Male,9
2023-04-10,2023-04-10,SWACH,Female,9
2023-04-10,2023-04-10,SWACH,Male,9
2023-04-17,2023-04-03,Better Health Together,Female,54
2023-04-17,2023-04-03,Better Health Together,Male,61
2023-04-17,2023-04-03,Cascade Pacific Action Alliance,Female,67
2023-04-17,2023-04-03,Cascade Pacific Action Alliance,Male,68
2023-04-17,2023-04-03,Elevate Health,Female,95
2023-04-17,2023-04-03,Elevate Health,Male,94
2023-04-17,2023-04-03,Greater Columbia ACH,Female,74
2023-04-17,2023-04-03,Greater Columbia ACH,Male,65
2023-04-17,2023-04-03,HealthierHere,Female,221
2023-04-17,2023-04-03,HealthierHere,Male,190
2023-04-17,2023-04-03,North Central ACH,Female,29
2023-04-17,2023-04-03,North Central ACH,Male,22
2023-04-17,2023-04-03,North Sound ACH,Female,114
2023-04-17,2023-04-03,North Sound ACH,Male,101
2023-04-17,2023-04-03,Olympic Community of Health,Female,37
2023-04-17,2023-04-03,Olympic Community of Health,Male,34
2023-04-17,2023-04-03,SWACH,Female,49
2023-04-17,2023-04-03,SWACH,Male,55
2023-04-17,2023-04-10,Better Health Together,Female,25
2023-04-17,2023-04-10,Better Health Together,Male,38
2023-04-17,2023-04-10,Cascade Pacific Action Alliance,Female,38
2023-04-17,2023-04-10,Cascade Pacific Action Alliance,Male,24
2023-04-17,2023-04-10,Elevate Health,Female,51
2023-04-17,2023-04-10,Elevate Health,Male,60
2023-04-17,2023-04-10,Greater Columbia ACH,Female,29
2023-04-17,2023-04-10,Greater Columbia ACH,Male,31
2023-04-17,2023-04-10,HealthierHere,Female,123
2023-04-17,2023-04-10,HealthierHere,Male,106
2023-04-17,2023-04-10,North Central ACH,Female,16
2023-04-17,2023-04-10,North Central ACH,Male,8
2023-04-17,2023-04-10,North Sound ACH,Female,66
2023-04-17,2023-04-10,North Sound ACH,Male,70
2023-04-17,2023-04-10,Olympic Community of Health,Female,13
2023-04-17,2023-04-10,Olympic Community of Health,Male,17
2023-04-17,2023-04-10,SWACH,Female,32
2023-04-17,2023-04-10,SWACH,Male,25
2023-04-17,2023-04-17,Better Health Together,Female,7
2023-04-17,2023-04-17,Better Health Together,Male,6
2023-04-17,2023-04-17,Cascade Pacific Action Alliance,Female,9
2023-04-17,2023-04-17,Cascade Pacific Action Alliance,Male,8
2023-04-17,2023-04-17,Elevate Health,Female,14
2023-04-17,2023-04-17,Elevate Health,Male,12
2023-04-17,2023-04-17,Greater Columbia ACH,Female,17
2023-04-17,2023-04-17,Greater Columbia ACH,Male,11
2023-04-17,2023-04-17,HealthierHere,Female,29
2023-04-17,2023-04-17,HealthierHere,Male,30
2023-04-17,2023-04-17,North Central ACH,Female,2
2023-04-17,2023-04-17,North Central ACH,Male,4
2023-04-17,2023-04-17,North Sound ACH,Female,18
2023-04-17,2023-04-17,North Sound ACH,Male,20
2023-04-17,2023-04-17,Olympic Community of Health,Female,8
2023-04-17,2023-04-17,Olympic Community of Health,Male,10
2023-04-17,2023-04-17,SWACH,Female,11
2023-04-17,2023-04-17,SWACH,Male,9
2023-04-24,2023-04-03,Better Health Together,Female,50
2023-04-24,2023-04-03,Better Health Together,Male,82
2023-04-24,2023-04-03,Cascade Pacific Action Alliance,Female,89
2023-04-24,2023-04-03,Cascade Pacific Action Alliance,Male,95
2023-04-24,2023-04-03,Elevate Health,Female,138
2023-04-24,2023-04-03,Elevate Health,Male,133
2023-04-24,2023-04-03,Greater Columbia ACH,Female,94
2023-04-24,2023-04-03,Greater Columbia ACH,Male,95
2023-04-24,2023-04-03,HealthierHere,Female,315
2023-04-24,2023-04-03,HealthierHere,Male,277
2023-04-24,2023-04-03,North Central ACH,Female,37
2023-04-24,2023-04-03,North Central ACH,Male,34
2023-04-24,2023-04-03,North Sound ACH,Female,157
2023-04-24,2023-04-03,North Sound ACH,Male,150
2023-04-24,2023-04-03,Olympic Community of Health,Female,56
2023-04-24,2023-04-03,Olympic Community of Health,Male,52
2023-04-24,2023-04-03,SWACH,Female,69
2023-04-24,2023-04-03,SWACH,Male,72
2023-04-24,2023-04-10,Better Health Together,Female,51
2023-04-24,2023-04-10,Better Health Together,Male,68
2023-04-24,2023-04-10,Cascade Pacific Action Alliance,Female,62
2023-04-24,2023-04-10,Cascade Pacific Action Alliance,Male,58
2023-04-24,2023-04-10,Elevate Health,Female,92
2023-04-24,2023-04-10,Elevate Health,Male,100
2023-04-24,2023-04-10,Greater Columbia ACH,Female,58
2023-04-24,2023-04-10,Greater Columbia ACH,Male,67
2023-04-24,2023-04-10,HealthierHere,Female,219
2023-04-24,2023-04-10,HealthierHere,Male,216
2023-04-24,2023-04-10,North Central ACH,Female,28
2023-04-24,2023-04-10,North Central ACH,Male,21
2023-04-24,2023-04-10,North Sound ACH,Female,122
2023-04-24,2023-04-10,North Sound ACH,Male,133
2023-04-24,2023-04-10,Olympic Community of Health,Female,29
2023-04-24,2023-04-10,Olympic Community of Health,Male,31
2023-04-24,2023-04-10,SWACH,Female,63
2023-04-24,2023-04-10,SWACH,Male,57
2023-04-24,2023-04-17,Better Health Together,Female,29
2023-04-24,2023-04-17,Better Health Together,Male,31
2023-04-24,2023-04-17,Cascade Pacific Action Alliance,Female,32
2023-04-24,2023-04-17,Cascade Pacific Action Alliance,Male,30
2023-04-24,2023-04-17,Elevate Health,Female,45
2023-04-24,2023-04-17,Elevate Health,Male,42
2023-04-24,2023-04-17,Greater Columbia ACH,Female,31
2023-04-24,2023-04-17,Greater Columbia ACH,Male,36
2023-04-24,2023-04-17,HealthierHere,Female,105
2023-04-24,2023-04-17,HealthierHere,Male,111
2023-04-24,2023-04-17,North Central ACH,Female,6
2023-04-24,2023-04-17,North Central ACH,Male,9
2023-04-24,2023-04-17,North Sound ACH,Female,59
2023-04-24,2023-04-17,North Sound ACH,Male,66
2023-04-24,2023-04-17,Olympic Community of Health,Female,18
2023-04-24,2023-04-17,Olympic Community of Health,Male,24
2023-04-24,2023-04-17,SWACH,Female,32
2023-04-24,2023-04-17,SWACH,Male,26
2023-04-24,2023-04-24,Better Health Together,Female,6
2023-04-24,2023-04-24,Better Health Together,Male,7
2023-04-24,2023-04-24,Cascade Pacific Action Alliance,Female,5
2023-04-24,2023-04-24,Cascade Pacific Action Alliance,Male,9
2023-04-24,2023-04-24,Elevate Health,Female,7
2023-04-24,2023-04-24,Elevate Health,Male,13
2023-04-24,2023-04-24,Greater Columbia ACH,Female,9
2023-04-24,2023-04-24,Greater Columbia ACH,Male,6
2023-04-24,2023-04-24,HealthierHere,Female,31
2023-04-24,2023-04-24,HealthierHere,Male,34
2023-04-24,2023-04-24,North Central ACH,Female,0
2023-04-24,2023-04-24,North Central ACH,Male,4
2023-04-24,2023-04-24,North Sound ACH,Female,18
2023-04-24,2023-04-24,North Sound ACH,Male,16
2023-04-24,2023-04-24,Olympic Community of Health,Female,6
2023-04-24,2023-04-24,Olympic Community of Health,Male,7
